Text,Personality
I prefer staying home on weekends #883,Introvert
I enjoy talking on calls for hours #552,Extrovert
I feel bored when alone #351,Extrovert
I love hanging out with friends #988,Extrovert
I enjoy quiet evenings at home #376,Introvert
I enjoy talking on calls for hours #719,Extrovert
I like working in teams #960,Extrovert
I prefer spending time alone reading books #796,Introvert
I feel drained after social gatherings #246,Introvert
I enjoy solo hobbies like painting #828,Introvert
I prefer spending time alone reading books #682,Introvert
I like working independently #273,Introvert
I like working independently #414,Introvert
I avoid large crowds #669,Introvert
I enjoy group activities #8,Extrovert
I love meeting new people #27,Extrovert
I enjoy quiet evenings at home #657,Introvert
I enjoy solo hobbies like painting #908,Introvert
I prefer texting over calling #877,Introvert
I prefer spending time alone reading books #135,Introvert
I enjoy group activities #776,Extrovert
I like working independently #8,Introvert
I avoid large crowds #998,Introvert
I feel comfortable being alone #219,Introvert
I prefer staying home on weekends #438,Introvert
I love meeting new people #822,Extrovert
I enjoy talking on calls for hours #436,Extrovert
I enjoy solo hobbies like painting #647,Introvert
I enjoy solo hobbies like painting #764,Introvert
I enjoy parties and social events #405,Extrovert
I like working independently #866,Introvert
I like working in teams #80,Extrovert
I feel comfortable being alone #719,Introvert
I feel bored when alone #461,Extrovert
I avoid large crowds #295,Introvert
I love hanging out with friends #762,Extrovert
I prefer staying home on weekends #777,Introvert
I prefer staying home on weekends #804,Introvert
I prefer texting over calling #215,Introvert
I like working in teams #379,Extrovert
I like working in teams #448,Extrovert
I like small group conversations #736,Introvert
I feel comfortable being alone #174,Introvert
I like being the center of attention #22,Extrovert
I like working in teams #363,Extrovert
I feel drained after social gatherings #667,Introvert
I prefer texting over calling #686,Introvert
I actively participate in events #785,Extrovert
I enjoy parties and social events #199,Extrovert
I actively participate in events #326,Extrovert
I prefer spending time alone reading books #54,Introvert
I love meeting new people #599,Extrovert
I love meeting new people #148,Extrovert
I enjoy talking on calls for hours #188,Extrovert
I enjoy group activities #87,Extrovert
I love meeting new people #53,Extrovert
I enjoy parties and social events #295,Extrovert
I like small group conversations #382,Introvert
I like small group conversations #320,Introvert
I prefer texting over calling #144,Introvert
I enjoy group activities #670,Extrovert
I enjoy solo hobbies like painting #687,Introvert
I enjoy solo hobbies like painting #57,Introvert
I feel bored when alone #443,Extrovert
I avoid large crowds #824,Introvert
I love meeting new people #325,Extrovert
I prefer texting over calling #939,Introvert
I feel bored when alone #514,Extrovert
I love hanging out with friends #234,Extrovert
I feel bored when alone #922,Extrovert
I prefer texting over calling #305,Introvert
I feel energized in crowds #35,Extrovert
I like working independently #730,Introvert
I enjoy quiet evenings at home #138,Introvert
I enjoy solo hobbies like painting #610,Introvert
I enjoy solo hobbies like painting #838,Introvert
I enjoy group activities #578,Extrovert
I avoid large crowds #715,Introvert
I prefer staying home on weekends #162,Introvert
I prefer staying home on weekends #910,Introvert
I like working independently #926,Introvert
I enjoy quiet evenings at home #188,Introvert
I feel drained after social gatherings #493,Introvert
I prefer staying home on weekends #631,Introvert
I prefer texting over calling #717,Introvert
I enjoy talking on calls for hours #99,Extrovert
I prefer texting over calling #704,Introvert
I feel energized in crowds #65,Extrovert
I like small group conversations #75,Introvert
I enjoy parties and social events #550,Extrovert
I like small group conversations #105,Introvert
I enjoy parties and social events #341,Extrovert
I enjoy quiet evenings at home #502,Introvert
I feel energized in crowds #107,Extrovert
I enjoy solo hobbies like painting #494,Introvert
I like small group conversations #660,Introvert
I enjoy quiet evenings at home #60,Introvert
I feel drained after social gatherings #474,Introvert
I like working in teams #929,Extrovert
I prefer spending time alone reading books #676,Introvert
I prefer spending time alone reading books #66,Introvert
I like working in teams #619,Extrovert
I prefer spending time alone reading books #964,Introvert
I love hanging out with friends #94,Extrovert
I prefer staying home on weekends #639,Introvert
I enjoy group activities #544,Extrovert
I feel energized in crowds #945,Extrovert
I like working independently #223,Introvert
I like working in teams #382,Extrovert
I prefer spending time alone reading books #978,Introvert
I enjoy parties and social events #546,Extrovert
I avoid large crowds #94,Introvert
I enjoy talking on calls for hours #992,Extrovert
I prefer spending time alone reading books #769,Introvert
I love meeting new people #983,Extrovert
I like working independently #160,Introvert
I like small group conversations #116,Introvert
I enjoy solo hobbies like painting #935,Introvert
I enjoy talking on calls for hours #656,Extrovert
I prefer texting over calling #986,Introvert
I prefer texting over calling #930,Introvert
I enjoy quiet evenings at home #22,Introvert
I feel bored when alone #702,Extrovert
I love hanging out with friends #687,Extrovert
I prefer texting over calling #721,Introvert
I enjoy solo hobbies like painting #346,Introvert
I enjoy parties and social events #583,Extrovert
I actively participate in events #375,Extrovert
I like working in teams #518,Extrovert
I feel comfortable being alone #678,Introvert
I feel energized in crowds #512,Extrovert
I feel drained after social gatherings #76,Introvert
I enjoy talking on calls for hours #519,Extrovert
I like working in teams #597,Extrovert
I feel comfortable being alone #210,Introvert
I like working in teams #635,Extrovert
I prefer spending time alone reading books #63,Introvert
I prefer texting over calling #377,Introvert
I feel comfortable being alone #256,Introvert
I enjoy parties and social events #111,Extrovert
I love hanging out with friends #593,Extrovert
I feel energized in crowds #113,Extrovert
I prefer texting over calling #746,Introvert
I like working independently #954,Introvert
I like small group conversations #849,Introvert
I enjoy quiet evenings at home #992,Introvert
I feel bored when alone #237,Extrovert
I prefer texting over calling #487,Introvert
I prefer staying home on weekends #371,Introvert
I feel comfortable being alone #878,Introvert
I avoid large crowds #195,Introvert
I like working in teams #814,Extrovert
I like working in teams #861,Extrovert
I like small group conversations #120,Introvert
I feel bored when alone #504,Extrovert
I avoid large crowds #64,Introvert
I prefer staying home on weekends #798,Introvert
I feel drained after social gatherings #644,Introvert
I prefer staying home on weekends #946,Introvert
I like being the center of attention #889,Extrovert
I prefer staying home on weekends #714,Introvert
I enjoy talking on calls for hours #941,Extrovert
I prefer spending time alone reading books #791,Introvert
I enjoy quiet evenings at home #58,Introvert
I prefer texting over calling #839,Introvert
I love hanging out with friends #64,Extrovert
I enjoy quiet evenings at home #504,Introvert
I feel energized in crowds #605,Extrovert
I feel energized in crowds #401,Extrovert
I feel comfortable being alone #753,Introvert
I feel comfortable being alone #439,Introvert
I love hanging out with friends #345,Extrovert
I feel comfortable being alone #486,Introvert
I feel comfortable being alone #211,Introvert
I enjoy group activities #266,Extrovert
I prefer texting over calling #563,Introvert
I feel bored when alone #48,Extrovert
I feel bored when alone #679,Extrovert
I like working in teams #457,Extrovert
I like working independently #187,Introvert
I enjoy parties and social events #4,Extrovert
I actively participate in events #233,Extrovert
I feel bored when alone #979,Extrovert
I enjoy talking on calls for hours #296,Extrovert
I enjoy solo hobbies like painting #830,Introvert
I feel energized in crowds #746,Extrovert
I like working independently #747,Introvert
I enjoy talking on calls for hours #71,Extrovert
I enjoy quiet evenings at home #876,Introvert
I prefer spending time alone reading books #902,Introvert
I feel bored when alone #297,Extrovert
I like small group conversations #763,Introvert
I like small group conversations #871,Introvert
I feel energized in crowds #96,Extrovert
I love hanging out with friends #280,Extrovert
I prefer staying home on weekends #599,Introvert
I love meeting new people #839,Extrovert
I enjoy quiet evenings at home #314,Introvert
I like working independently #495,Introvert
I like small group conversations #158,Introvert
I enjoy quiet evenings at home #112,Introvert
I love meeting new people #565,Extrovert
I prefer texting over calling #702,Introvert
I avoid large crowds #757,Introvert
I enjoy quiet evenings at home #665,Introvert
I avoid large crowds #420,Introvert
I prefer staying home on weekends #349,Introvert
I avoid large crowds #122,Introvert
I enjoy solo hobbies like painting #985,Introvert
I love meeting new people #562,Extrovert
I love hanging out with friends #896,Extrovert
I enjoy parties and social events #949,Extrovert
I feel bored when alone #569,Extrovert
I feel energized in crowds #774,Extrovert
I prefer texting over calling #931,Introvert
I enjoy talking on calls for hours #554,Extrovert
I like being the center of attention #439,Extrovert
I love meeting new people #661,Extrovert
I actively participate in events #248,Extrovert
I love meeting new people #442,Extrovert
I enjoy parties and social events #575,Extrovert
I like small group conversations #341,Introvert
I like working independently #612,Introvert
I enjoy talking on calls for hours #211,Extrovert
I like being the center of attention #787,Extrovert
I actively participate in events #230,Extrovert
I enjoy talking on calls for hours #373,Extrovert
I feel comfortable being alone #154,Introvert
I feel bored when alone #990,Extrovert
I like being the center of attention #539,Extrovert
I enjoy parties and social events #836,Extrovert
I enjoy parties and social events #829,Extrovert
I enjoy talking on calls for hours #462,Extrovert
I enjoy talking on calls for hours #791,Extrovert
I like being the center of attention #119,Extrovert
I enjoy parties and social events #684,Extrovert
I enjoy parties and social events #695,Extrovert
I feel drained after social gatherings #670,Introvert
I feel energized in crowds #166,Extrovert
I like working in teams #917,Extrovert
I love hanging out with friends #225,Extrovert
I feel energized in crowds #765,Extrovert
I love meeting new people #913,Extrovert
I feel bored when alone #106,Extrovert
I like small group conversations #301,Introvert
I prefer texting over calling #818,Introvert
I love hanging out with friends #240,Extrovert
I feel energized in crowds #478,Extrovert
I prefer staying home on weekends #994,Introvert
I feel bored when alone #63,Extrovert
I feel energized in crowds #380,Extrovert
I feel comfortable being alone #677,Introvert
I enjoy group activities #838,Extrovert
I actively participate in events #447,Extrovert
I love meeting new people #424,Extrovert
I feel drained after social gatherings #354,Introvert
I avoid large crowds #289,Introvert
I like working independently #809,Introvert
I prefer staying home on weekends #300,Introvert
I feel drained after social gatherings #150,Introvert
I feel comfortable being alone #913,Introvert
I prefer staying home on weekends #962,Introvert
I enjoy quiet evenings at home #143,Introvert
I actively participate in events #226,Extrovert
I feel drained after social gatherings #960,Introvert
I enjoy solo hobbies like painting #713,Introvert
I prefer staying home on weekends #772,Introvert
I prefer staying home on weekends #982,Introvert
I enjoy solo hobbies like painting #203,Introvert
I avoid large crowds #853,Introvert
I prefer spending time alone reading books #570,Introvert
I avoid large crowds #629,Introvert
I enjoy group activities #43,Extrovert
I prefer spending time alone reading books #126,Introvert
I like working independently #220,Introvert
I prefer staying home on weekends #966,Introvert
I prefer texting over calling #372,Introvert
I enjoy parties and social events #731,Extrovert
I avoid large crowds #892,Introvert
I enjoy talking on calls for hours #485,Extrovert
I feel drained after social gatherings #157,Introvert
I love meeting new people #666,Extrovert
I like working independently #578,Introvert
I actively participate in events #612,Extrovert
I enjoy quiet evenings at home #544,Introvert
I avoid large crowds #163,Introvert
I prefer spending time alone reading books #643,Introvert
I feel comfortable being alone #65,Introvert
I love meeting new people #359,Extrovert
I avoid large crowds #366,Introvert
I enjoy group activities #711,Extrovert
I love hanging out with friends #899,Extrovert
I feel drained after social gatherings #468,Introvert
I prefer texting over calling #914,Introvert
I like working independently #588,Introvert
I enjoy parties and social events #55,Extrovert
I enjoy talking on calls for hours #764,Extrovert
I enjoy talking on calls for hours #241,Extrovert
I enjoy quiet evenings at home #214,Introvert
I feel bored when alone #737,Extrovert
I feel bored when alone #86,Extrovert
I like working in teams #664,Extrovert
I like small group conversations #562,Introvert
I avoid large crowds #405,Introvert
I feel bored when alone #134,Extrovert
I prefer spending time alone reading books #323,Introvert
I feel bored when alone #657,Extrovert
I avoid large crowds #778,Introvert
I prefer spending time alone reading books #271,Introvert
I enjoy group activities #176,Extrovert
I like small group conversations #958,Introvert
I prefer spending time alone reading books #6,Introvert
I like working in teams #606,Extrovert
I avoid large crowds #216,Introvert
I love meeting new people #202,Extrovert
I prefer spending time alone reading books #754,Introvert
I prefer texting over calling #729,Introvert
I like working in teams #416,Extrovert
I feel energized in crowds #141,Extrovert
I feel drained after social gatherings #293,Introvert
I enjoy talking on calls for hours #249,Extrovert
I like working in teams #584,Extrovert
I feel energized in crowds #963,Extrovert
I feel drained after social gatherings #232,Introvert
I prefer staying home on weekends #740,Introvert
I like working independently #771,Introvert
I love hanging out with friends #788,Extrovert
I enjoy solo hobbies like painting #808,Introvert
I like working independently #745,Introvert
I prefer staying home on weekends #257,Introvert
I enjoy quiet evenings at home #903,Introvert
I feel comfortable being alone #24,Introvert
I prefer spending time alone reading books #196,Introvert
I like small group conversations #873,Introvert
I like working in teams #131,Extrovert
I feel energized in crowds #332,Extrovert
I love meeting new people #817,Extrovert
I like small group conversations #31,Introvert
I enjoy talking on calls for hours #897,Extrovert
I love hanging out with friends #487,Extrovert
I enjoy quiet evenings at home #306,Introvert
I prefer staying home on weekends #463,Introvert
I enjoy quiet evenings at home #102,Introvert
I like small group conversations #638,Introvert
I like working in teams #129,Extrovert
I prefer spending time alone reading books #797,Introvert
I prefer texting over calling #472,Introvert
I like small group conversations #920,Introvert
I enjoy quiet evenings at home #14,Introvert
I avoid large crowds #973,Introvert
I enjoy solo hobbies like painting #843,Introvert
I feel energized in crowds #381,Extrovert
I prefer staying home on weekends #690,Introvert
I enjoy talking on calls for hours #231,Extrovert
I like small group conversations #691,Introvert
I like being the center of attention #883,Extrovert
I prefer texting over calling #901,Introvert
I prefer spending time alone reading books #103,Introvert
I feel drained after social gatherings #302,Introvert
I prefer texting over calling #146,Introvert
I like working independently #773,Introvert
I prefer staying home on weekends #580,Introvert
I feel comfortable being alone #607,Introvert
I prefer texting over calling #811,Introvert
I like small group conversations #525,Introvert
I like working independently #218,Introvert
I prefer texting over calling #885,Introvert
I like working independently #335,Introvert
I like working independently #477,Introvert
I prefer texting over calling #172,Introvert
I enjoy solo hobbies like painting #336,Introvert
I love meeting new people #916,Extrovert
I feel energized in crowds #615,Extrovert
I feel drained after social gatherings #127,Introvert
I actively participate in events #955,Extrovert
I feel comfortable being alone #283,Introvert
I prefer staying home on weekends #891,Introvert
I prefer spending time alone reading books #510,Introvert
I enjoy quiet evenings at home #62,Introvert
I feel bored when alone #542,Extrovert
I feel energized in crowds #323,Extrovert
I enjoy group activities #277,Extrovert
I like working independently #936,Introvert
I like small group conversations #243,Introvert
I feel energized in crowds #475,Extrovert
I feel comfortable being alone #977,Introvert
I like small group conversations #294,Introvert
I feel energized in crowds #733,Extrovert
I enjoy parties and social events #57,Extrovert
I feel comfortable being alone #890,Introvert
I love hanging out with friends #637,Extrovert
I enjoy parties and social events #394,Extrovert
I like working independently #425,Introvert
I enjoy group activities #132,Extrovert
I love hanging out with friends #906,Extrovert
I actively participate in events #470,Extrovert
I enjoy parties and social events #210,Extrovert
I love hanging out with friends #215,Extrovert
I enjoy parties and social events #590,Extrovert
I feel comfortable being alone #641,Introvert
I love meeting new people #693,Extrovert
I enjoy quiet evenings at home #473,Introvert
I prefer spending time alone reading books #810,Introvert
I love meeting new people #744,Extrovert
I enjoy group activities #862,Extrovert
I love meeting new people #998,Extrovert
I like being the center of attention #429,Extrovert
I feel energized in crowds #772,Extrovert
I prefer texting over calling #705,Introvert
I like being the center of attention #239,Extrovert
I love hanging out with friends #286,Extrovert
I prefer spending time alone reading books #925,Introvert
I prefer texting over calling #88,Introvert
I like working independently #829,Introvert
I enjoy solo hobbies like painting #61,Introvert
I feel bored when alone #476,Extrovert
I avoid large crowds #895,Introvert
I feel comfortable being alone #865,Introvert
I love meeting new people #918,Extrovert
I prefer texting over calling #357,Introvert
I love meeting new people #850,Extrovert
I actively participate in events #667,Extrovert
I enjoy group activities #792,Extrovert
